id_cat;text
1;Кормим здесь своих туристов уже не первый год! Все очень вкусно ?? В пиковое время мест сложно найти, официанты частенько тупят….Интерьер как в столовке) на это  все можно закрыть глаза, качество кухни очень высокое!
1;Очень приветливые и вежливые работники. Очень вкусно и цена соответствует месту. Приятно было туда ходить на обеды и ужины. Чебуреки отменные! 
1;Обслуживание неплохое, но вот на вкус… Борщ выглядит, как борщ, а на вкус далёк. Больше всего впечатлил салат свеклы с чесноком, который я всегда думала, что невозможно испортить, оказывается я недооценивала современную кулинарию. Майонез даже не размешался однородно, так и остался кусками как я ни старалась, не знаю уж из чего он у них сделан, а из чего тогда сделаны остальные продукты… Утолить голод можно, но ожидать вкуснейшую еду не стоит 
1;Вкусная еда и очень быстрая отдача, даже если много народа. Недавно провели ремонт в санузлах, теперь стало приятно приводить ещё и гостей. Варят кофе, можно заказать с собой. Два зала, по сочетание цена/качество самое оптимальное место
1;Ели с мужем чебуреки в данном кафе. Делают иилепят сами. Очень вкусно и по-домашнему! Наблюдала за посетителями. Всем нравится... Рекомендую!
1;Очень вкусно, чисто, все блюда очень классные! Национальные! Обслуживание хорошее только приходится долго ждать готовности блюд! Честно скажу и все ждут т. к. очень вкусно! Желаю вам расширения ребята! Вы классные! Спасибо за ваши способности! Шеф-повара вы крутые реально!
1;Самые вкусные позы там!??Даже не успели их сфотографировать, сразу съели)) Салаты свежие. Огромные воздушные чебуреки. Кухня супер. Цены очень демократичные. Супер приветливый персонал. Достаточно самобытное приятное место. Находясь в Хужире, точно стоит посетить!
1;Чебуреки отличные, друзья хвалили лично я не ем жареную выпечку, изжога. Солянка вкусная, Цезарь с курицей или сёмгой, отлично. Безалкогольный глинтвейн восхитителен, жаль безалкогольный. Позы на уровне, вкуснее только на экскурсии на катере на источнике, но там полная антисанитория. Что касается санитарных норм в Далай, тоже все под вопросом. Приборы с чистичками еды, приходится самостоятельно чистить салфетками, за это снял 2 звезды. Персонал вежливый, парень на кассе вечно уставший. Цены не демократичны, средний чек на одного, 900р
1;Ужасное место! Особенно  для тех кто следит за питанием.  Для тех кто на диете- вам не сюда!  Персонал приветствует не охотно, состав блюд не хотят менять.  В меню всё жареное.  На пару  только  позы  и те идут  с домашним  фаршем ( свинина-говядина), а я свинину не ем. Запеченого  ничего нет.    Папа заказал салат  цезарь   попросил убрать  соус цезарь ( он же майонезный) мы майонез не кушаем, попросили  заменить  на сметану, так нам вообще  отказывались  делать такое блюдо.   У папы строгая диета   после удаления  почки.  Нельзя  ничего  сладкого, жареного, солёного, маринованного, мучное  можно только  ржаную муку, а хлеба тут  чёрного  нет! Только  после  объяснения персоналу что у нас вот такая диета  нам приготовили  этот несчастный  салат. Муж заказал  картошку на сковороде  в сливочном соусе с луком, грибами и курицей (точное название не помню)- пересолили  ужас!!! Он не стал есть. Мама брала пиво и сырные палочки фри- тут претензий  нет.   Для тех кто на ПП- не место. Для тех кто любит жирок- welcome! Оценка 2+ с натяжкой  3
1;Очень не плохое и недорогое кафе. Большой выбор блюд. Понравился салат с помидорами и сыром,  овощи с сыром, суп чечевичный, десерты, Чебурек с сыром был большой, но пустой, начинки мало.Порции не очень большие, но можно заказать и по 2 порции)) Готовят не быстро 20-50 минут была подача, хоть и оправдано из-за большого количества посетителей.Есть места в Хужире вкуснее, но дороже.
1;"Отдыхали в Хужире в начале июля. Попробовали еду в нескольких кафе, отдали предпочтение ""Далаю"" (надеюсь, склоняется). Быстро, вкусно, демократичные цены. Помимо перечисленных в хвалебных отзывах блюд (чаще заказывала позы - очень вкусно) хочу отметить пирожки) Вкусное тесто, много начинки, нужно попасть на только что испеченные! Нам везло) Спасибо персоналу и поварам! "
1;Очень вкусная еда, бюджетно. Приходится ждать пока освободится столикФото меню для ознакомления Очень советую рыбу с картошкой и соусом Тар-Тар И цезарь с курицей И очень вкусный горячий шоколад ( для сладкоежек)
1;Наше любимое кафе в Хужире. Всё очень вкусно, отобенно нам понравился сагудай, чебуреки с пылу с жару, и прекрасный салат Цезарь. Вроде бы, ничего особенного, но порция большая, и вкус отменный. Каждый вечер тут ужинали и всегда были довольны.
1;Приятное место. Был в середине мая. Не сезон и холодно относительно. Были одни в ресторане. Выбор шикарный. Всё приготовили очень быстро. Хушуур особенно понравился (пирожок такой с мясом вообще топ). Очень вкусная запеченная картошка с мясом. Чай та?жный тоже супер. Однозначно рекомендую! 
1;Очень вкусно, большие порции, чебуреки просто огромные, рекомендую салат шаман, буузы пальчики оближешь!!! Обстановка чисто и лаконично, персонал хорошо.
1;Великолепная домашняя кухня, много национальных блюд! Были с супругой в начале октября и это было одно из немногих работающих кафе. Первый раз в жизни пробовал буузы и сугудай здесь 
1;Отличное кафе. Быстро готовят. Салат Шаман балдежный. Картофель фри лучше любого из фаст фудов, что реально удивило. Чай немножко слабоватый. Пельмени дали прям в бульоне, это меня не порадовало (сами пельмени норм). В целом, то что нужно. Цены приемлемые. В среднем, 800 рублей, чтобы хорошо поесть.
1;Цены здесь приемлемые , даже можно сказать ниже среднего. Меню очень даже большое и позволяет выбрать что-либо на свой вкус. Всегда есть свободные столы . Ждать свой заказ тут прийдётся не долго , т.к. из очень оперативно разносят официанты. Рекомендую!
1;Прекрасное кафе! Очень вкусная еда и совершенно замечательный персонал, который совершенно искренне помогут вам, если необходима какая- то помощь! Огромное спасибо! Очень рекомендуем!
1;"Самое лучшее кафе на Ольхоне! приятный персонал, уютная наружняя веранда, вкусные блюда и большой выбор. Очень понравился торт ""Три шоколада"". А еще доступные цены."
1;Из всех кафе на острове здесь самая съедобная еда. Быстрая подача. Вкусно! Вежливое обслуживание. 
1;Три звезды с натяжкой. На вид приличное, но бестолковое, не очень чистое кафе. Персонал много суетится и постоянно все путает. Были с детьми, заказали десерты. Дети не доели тортики, это прямо показатель.Со взрослой едой тоже не очень. Заказывали 2 порции беф-строганова, в одной тарелке все хорошо, в другой вместо мяса жилы. Солянка невкусная.К салату из помидор и чаю претензий нет. 
1;Очень быстро обслуживают, еда вкусная, цены демократичные. Национальные бурятские блюда, чебуреки. Посоветовала хозяйка гостевого дома, как одно из лучших мест Худжира. Интерьер простенький.
1;Удобно расположен, заказ приготовили быстро не смотря не то что был полный зал в 18-20, перед нами была тур группа 12чел , они сделали заказ и ушли на Шаманку. Наш заказ приняли с нашими пожеланиями блюд без лука, драники и салат приготовили быстро, мясо и гарнир с сыром ждал минут 20.У нас прошло все гладко и без претензий. Выбор есть, цены адекватные, выход блюд в граммах - нормальный 
1;Волшебно вкусно! Честно, 10 из 5, давно такого уровня кухни не видел. Вернусь, не раз, за таким можно и специально приехать!
1;Богатое меню, вкусная еда и напиткиГотовят достаточно быстроИз минусов : достаточно многолюдно
1;Очень вкусная домашняя еда. Однозначно лучшие буузы на Ольхоне. Очень вкусный цуйван. Рекомендую.
1;Вкусно, цены приемлемые, носят блюда быстро. Вкусные буузы, мне там понравились больше чем везде). Есть десерты, правда мы не пробовали, но выглядят красиво.
1;Очень вкусно. Чебурек большой я брала с сыром, также понравился салат с корейской морковкой. Также люди хвалят там позы. И еще бонус для тех кто живет в палатке, в зале есть свободные розетки для подзарядки гаджетов. Рекомендую одним словом !!!
1;Был здесь около года с небольшим назад,кухня была простая,но вкусная,официанты внимательные и вежливые,сегодня с друзьями приехали рассчитывая вкусно покушать- облом! Обслуживающая нас кросотка с грязными ногтями и сбивчивой речью перепутала заказ и мы ещё ждали плюсом 40 минут! Пища не выдерживает критики- невкусно было всё,кроме морса!!! Не рекомендую однозначно,ощущение что всё готовят на коленке,из самых дешевых продуктов,понимаю это по овощному салату- помидоры с огурцами плавали в собственном соку  и весь это ужас ещё и имел душок рыбы!Остались злые и голодные,и уж совершенно точно предостерегем друзей и знакомых что в этом кафе плохая еда !
1;Меню европейское , национальной кухни нет . Что интересно остров занимающийся рыболовством , а рыбных блюд нет . 
1;Пытались сесть несколько раз, но мест не было. В итоге взяли навынос. Все было съедобно и сытно. Очень понравился сагудай. 
1;Классное кафе. Большое меню, но есть все! Готовят для каждого гостя. Приходится немного подождать, зато вкусно и приготовлено специально для вас!
1;"Кафе Далай порекомендовала местная жительница-гид и мы не пожалели ,что пришли !! Приехав на Ольхон хочется попробовать ,конечно, чего то из местных кушаний)) Поэтому взяли буузы, чечевичный суп, салат ""шаман"" . Понравилось все! Принесли быстро суп и салат. Буузы чуть позже,  так как они готовятся какое то время . Очень вкусные!!)) Тонкое тесто , мяса много. Я потом ещё дозаказала 3 шт)) А ещё заказали глинтвейн (безалкогольный) из облепихи. Там была палочка корицы, гвоздика ...  Аромат !! Просто вкуснятина. Рядом сидела большая компания- они назвали нахваливали маленькие чебуреки)) Обслуживание быстрое. Цены средние. Бууза 80 гр 85 руб. В Иркутске в Хан буузе- 75 . Чисто, уютно . Народу много. Видимо место очень популярное!))"
1;Брала драники, салат с баклажаном, буузы и десерт морковный. Порции большие очень, драники шикарнейшие, хрустят, но найден был волос в них. Буузы неплохие, вкуснее, чем напротив в позной, но на трассе находили лучше. Салат не очень, показался даже не свежим.
1;Ходили завтракать обедать и ужинать. Все очень вкусно и колоритно. Чебуреки просто чудо ??.А утром приходится будить баристу, чтобы сварил кофе ??
1;Все очень вкусно, порции большие! Пельмени домашние, кофе, хозуур, уху ели. За соседними столиками ели чебуреки, они огромные! Обслуживание быстрое
1;Вкусно было, по-домашнему, очень приветливо. Ехал любоваться природой, но и местную кухню пробовать. Сытно и недорого
1;Внезапно в восторге. Вкусно, по домашнему, цены ну ооочень располагающие. Ужинали два дня большой компанией, девушка официантка просто замечательная. Вежливое и учтивое обслуживание 
1;Хорошое место что бы поесть. От Хужира не стоит ожидать чего-то, тут либо дорого и не так себе, либо как тут, нормальные цены и вполне съедобно. 
1;в прошлом году были здесь на завтраке - очень понравилось, в этот раз решили пообедать и были очень разочарованы. очередь на кассу, почти все столы заняты, женщина за кассой вообще не знает ничего о культурном общении. персонал с потоком людей не справлялся, ожидание основного блюда в заказе - 30 минут, остальное, если не забывают, приносят еще позже. еда свежая, но далеко не самая вкусная, хотя чек выше среднего
1;Неплохое кафе, несколько раз обедали тут, готовят достаточно быстро, вкусно, меню разнообразное , недорого??
1;Очень классно, быстро все принесли, все горячее, вкусное, порции большие . Цены отличные , местные едят тут же. Ходили несколько раз , бузы, чебуреки, уха все очень понравилось .
1;Прекрасное кафе. Готовят вкусно. В салате Цезарь с форелью рыбы много. Позы с бульоном внутри, сочные, вкусные. Официантки немного где то витают) но это мелочи.
1;Со слов нашего гида и членов группы ей не поверивших))) это единственное нормальное кафе в Хужире. Поток людей такой, что Макдональс, ой Вкусно и точка обзавидовался бы. Это, видимо, подтверждает уникальность этого кафе. Однако менеджмент просто шокирует! Передать ранее забронированные заказы на кухню забывают, просто отказываются обслуживать по непонятным причинам. Ожидание от получаса до часа. Температура еды - как повезет. Хочется отметить добрым словом официанток, очень быстрые, дипломатичные,  именно через них нужно проводить все «оперативно розыскные мероприятия» своего заказа, блюда.
1;Хорошее кафе. Ценник нормальный. Меню не очень большое, но есть все необходимое. В кафе работает кондиционер. Есть столики на улице. Едим тут второй день. В качестве продуктов сомнений нет.
1;Одно из лучших кафе в Хужире, все очень вкусно, быстро и недорого. Постоянно много народу там, соответственно, что все всегда свежее)
1;Мне очень понравилось, в этом кафе! Нет каких-то изысков, но готовят вкусно, по -домашнему! Персонал очень доброжелательный! Рекомендую! 
1;По мне так все хорошо. Да, это не ресторан высокой кухни, кафе для каждого и на любой день. Меню разнообразное, супы, горячее, салаты. Время приготовления напрямую зависит от количества посетителей. Но так или иначе кухня справляется. Хорошая кафешка для утоления голода после прогулок на свежем воздухе. Рекомендую.
1;Отдыхали на острове Ольхон с мужем в конце августа 2022г. Зашли перекусить в кафе Далай и стали ходить сюда и на завтрак и обед и ужин))) Персонал шустрый профессиональный! Блюда разнообразные и ооочень вкусные !!! Буузы, хушуры и чебуреки самые вкусные на острове!!! Время ожидания максимум 20 минут. Чисто, быстро, вкусно!!! Рекомендую!!! 
1;Ужасное место.  Заказал жареху  а там остатки металлической щётки. Больше сюда не приду. Уха ужас. Кусок рыбы с жирным бульоном с рисом. Ужасный вкус.
1;Очень люблю это кафе в Хужире. Всегда и завтракаю, и обедаю, и ужинаю здесь. И всем рекомендую это кафе. Всегда очень вкусно. Всегда быстро готовят. Молодцы!
1;Приехали в кафе в конце мая , кафе расположено удобно, хоть и не сезон меню было полностью,  очень вкусная еда, обслужили быстро. Рекомендую к посещению 100%
1;Вкусно. Нам порекомендовали туда зайти местные жители. Интерьер обычный, но главное, что готовят быстро, вкусно и стоит недорого.
1;Хорошее кафе, соотношение цена/качества оптимальное. Цены средние, качество блюд нормальное. Единственный минус– в сезон вы будете долго ждать свой заказ и вполне может так случиться, что свободных мест за столиками не будет.
1;"Так то еда вкусная. Но вот момент когда там много народа в сезон так это пипец.  Больше всего удивило что заказывая одинаковые блюда, следующей покупатель после меня получал блюда быстрее. И так я не вкусил"" Бухлер"". В меню есть пища неделю что там был его не было. Но все равно еда вкусная"
1;Отвратительное отношение к гостям. Попросили сделать греческий  салат без болгарского перца - объяснили что у нас аллергия, и из  салата цезарь  убрать  сухарики  и заменить  соус на сметану. Остальные блюда  заказали  без всяких  изменений в составе. Нам вообще  не хотели что либо  готовить! Отказывались принимать заказ. Но в итоге  приняли и приготовили  всё как просили.  Очень  долго ждали второе блюдо и ужасно пересолили сотэ из курицы. В целом  блюда вкусные, готовят хорошо. Нам понравилось  но отношение  к гостям просто  убило.  За это снимаю 2 звёзды.
1;Быстро, вкусно, не дорого, есть пиво, заказывать у кассы, готовый заказ по номеру приносят.  
1;Отвратительное место, учитывая что цены довольно высокие для данной местности! Одна бузза 90 рублей! Мы заказали на 6 тыс рублей и ждём свой заказ 60 минут! Официантки грубят, не отвечают где заказ и почему так долго! Ходят с недовольным лицом, как будто мы виноваты в таком сервисе! Не советуем!!!! Одна звезда только чтобы написать этот отзыв, надеемся карма существует!
1;Примитивное кафе, с обычной едой. Еда на вкус нормальная, позы были вкусными, но долго ждать. За столом я сидела одна и ждала, пока мои друзья ели, а потом они меня ждали. Меню ничем особым не отличается. Музыку для нетрезвых гостей включали громкую и пошлую. Обслуживание как в столовках, невнимательные и неучтивые официанты. Лучше сходите рядом в кафе или через дорогу в шатер.
1;Очень вкусно, чисто и быстро обслуживают. Народу много в кафе, но больше 20 минут никогда не ждали заказ.Чебуреки супер!
1;Все супер, цуйван нереально вкусный, позы хорошие, чебурек огоньДостаточно уютно, персонал хороший 
1;Со стороны выглядит как посредственная столовая, где нескончаемый поток людей. На деле большой выбор блюд и они очень вкусные. Атмосфера правда действительно как в столовке.
1;Хорошее соотношение цены и качества!Жареный омуль и буузы - просто бомба
1;Вкусно. На Ольхоне плохой выбор кафе. Это одно из лучших. Цены приемлемые, вкусно, сытно. Очереди. 
1;Заведение не впечатлило. Персонал не успевает обрабатывать заказы, не успевают прибирать со столов. Готовят долго. Много где ели бурятскую кухню, есть с чем сравнить. В этом кафе было не вкусно.Желаю  вдохновения поворам для улучшения качества блюд, персоналу в зале - дополнительного официанта.
1;Еда - очень вкусно. Ребята официанты - большие молодцы. Цены вполне умеренные. Очень рекомендуем!Но владельцу надо что-то придумать с работой в часы пик, т.к. ребята и кухня зашиваются. Качество, тем не менее, на высоте.
1;Такое ощущение, что посетителям тут не рады и делают одолжение. После обеда - изжога, больше туда не ходили, хватило одного раза.
1;Столы не убраны, долго, администратор и официанты не заинтересованы в обслуживании гостей. Чай ждали 45 минут, потом оказалось что его нет. Ну и совсем не вкусно. Заказывали позы и бухлер-как покупные в магазине и обычный суп-дома лучше сваришь. 
1;Вкусно. По домашнему. Если время обеда - много людей, заведение популярное. Можно прождать заказ минут 40. Красивые и вкусные чебуреки , хорошие позы, прекрасный сагудай. Средний чек на двоих 1500.
1;Сразу скажу, что на мой взгляд слава этого места преувеличена. Интерьер и обстановка столовой, за соседним столом может орать полупьяная компания и это будет очень не комфортно. Сонная и слабо вежливая барышня за стойкой добавляет колорита застойных времён. Национальные блюда здесь в сравнении с другими заведениями общепита в поселке безусловно выигрывают. Один раз поели с семьёй, но возвращаться ещё раз не захотелось ни детям, ни взрослым.
1;Очень понравилось. Были 2 раза. Всё очень вкусно, в заведении ажиотаж. Есть нормальный туалет, много столиков, есть столики на улице. Чек на 2 вышел 1000 и 1400
1;Кафе понравилось. Заказывали салат, чебуреки с сыром, буузы, облепиховый чай. Приготовили быстро, было вкусно
1;Снаружи красивое кафе, в помещении скучно(столовая совдеп), но это не важно...Тут были самые вкусные и настоящие картофелные драники!!!!!
1;Вкусно, сытно, относительно недорого. Ожидание от 5 минут до получаса, зато всё горячее и свежее. Ребята молодые, шустрые, вежливые. Обязательно попробуйте чебуреки, драники и таёжный чай.
1;Впервые попав сюда были не очень впечатлены внешним видом кафе. Но попробовав кухню были более чем удивлены.   Все максимально вкусно, порции большие. Второй раз в отпуске на Ольхоне, а обеды и ужины в 90% случаев проходят у нас тут)
1;Быстрая подача. Внутри уютно. Вежливый персонал.Кушали: бузы, чебуреки, котлеты и овощи – понравились.Кофе из профессиональной кофемашины–понравился. Основной наплыв посетителей с 18:00 все с экскурсий возвращаются. В остальное время мы заходили и было свободно.Туалет чистый.
1;Очень вкусно, ребята молодцы, стараются с утра до ночи. Народу почти всегда много, но ожидание не дольше, чем во всех остальных кафешках.
