negative_text;positive_text;hotel_id
Душа нет и туалет общий и на улице, но мне еще повезло были не морозы, так что норм.;Все было отлично, очень приветливый и вежливый персонал, чисто и опрятно везде. Обычный завтрак, бесплатно включили ужин бонусом) (жила одна в 3местном номере)Приятно! Обязательно сходите в баню, баня у них отпад! Есть коньки в отличном состоянии в аренду 500 сутки, баня тоже 500, она прям огонь!;15210_101hotels
;Расположение отличное 10 минут до основной достопримечательности места - гора Шаманка чудная баня, Екатерина отменная хозяйка все очень вкусно, на базе все необходимое есть, все очень прекрасно.;15210_101hotels
;Вежливый и доброжелательный персонал, чистота  всех помещений , расположение.;15210_101hotels
;;15210_101hotels
;;15210_101hotels
;;15210_101hotels
;Отель идеален для летнего отдыха! Чувствуешь себя, как в гостях у бабушки. Замечательная и радушная атмосфера, очень вкусная еда, простые, но уютные комнаты, есть все необходимое.;15210_101hotels
;;15210_101hotels
;;15210_101hotels
"Не понравилось отношение администрации к клиентам базы. Жадность администрации в плане завтраков, дров, воды. Оплата для трёх людей, проживало два человека, а  при появившихся свободных номерах вам и даже не предложат сменить номер, чтобы не возвращать средства!) 
Максимально остался недоволен проведённым отпуском и местом отдыха на данной базе. 
Завтраки для детей! 
Осторожно! У базы нет посуды для приезжих из далёких городов, чтобы экономить больше воды! (Благо додумался взять немного своего, кроме дров, вам даже щепок для мангала не продадут ";Понравилоаь только расположение.;15210_101hotels
Кровати маленькие, людям с большим ростом неудобно спать.;"Добрый день! Отдыхали 24 июля 2023 года. Очень хорошая база отдыха для «некапризных туристов». Местаросположение очень удобное, 3 минута до Байкала и 10 мин до скалы Шамана и потрясающие виды Байкала.
Вкусно кормят, у нас были завтраки и ужины, каждый раз разные блюда и вкусная своя выпечка. 
На территории есть бесплатная мангальная , можно посидеть пожарить шашлык и познакомиться со своими соседями.";15210_101hotels
;;15210_101hotels
Понравились закаты ;;15210_101hotels
;;15210_101hotels
Для семьи с детьми не очень удобно. Туалет один во дворе, далеко от домов. Душ тоже. Умывальники ручные.;Расположен около берега, все в шаговой доступности. Повара отличные, завтраки вкусные!;15210_101hotels
;Отдых прошёл на 5 баллов. Отличное расположение базы отдыха. Рядом озеро и центральная улица с сувенирами и кафе. Номера небольшие, но нам хватало места, мы приходили только спать. Что касаемо сан узла, то там чистота всегда идеальная. Еда очень вкусная, как дома. Спасибо првару Ирине. Она всегда старалась разнообразить меню. У нас был завтрак и ужин. С детьми можно приезжать на территории есть детская песочница. Обязательно приеду ещё.;15210_101hotels
;;15210_101hotels
Подлатать бы лестницу на 2 этаж, да покрасить);Отличный приятный и вежливый персонал.;15210_101hotels
;;15210_101hotels
Горячая вода с перебоями,нет условий для проведения женской гигиены, умываться не удобно в туалете, не выдаются банные полотенца (только по прозьбе);Персонал доброжелателен, но в номере не убирается, только после выезда, очень душно ночью, нет винтиляции, окно не открывается;15210_101hotels
;Отличное расположение. Все в шаговой доступности. Гостеприимные и радушные хозяева! До берега Байкала - 3 мин. пешком!;15210_101hotels
"Для нас минусов не было. Поцветания базе отдыха ""Берег Надежды"" ";"Отличная база отдыха. Находится практически рядом с центром Хужира. По берегу можно прогуляться сразу к скале Шаманка и Сарайскому пляжу. Очень доброжелательные сотрудники. Мы брали номер с полупансионом. Очень вкусные, сытные и разнообразные завтраки и ужины. Столовая в отдельном помещении, в столовой есть три раковины для умывания. 
Туалет в отдельном помещении, но теплый и благоустроенный. Может быть, зимой это и напрягает. Но ранней весной неудобств в этом плане не было. В комнате - тепло, даже жарко, работает электрическая батарея отопления, которую можно регулировать и выключать в случае необходимости. Кровати удобные.
Если вы приехали смотреть Ольхон, а не сидеть в номере, то это идеальное место для отдыха после экскурсии и ночевки.";15210_101hotels
Пользоваться санузлом  расположенном на улице морозной ночью - совсем не комильфо :);Очень вкусный завтрак. Отличное расположение. Все в шаговой доступности.;15210_101hotels
Кровати очень жёсткие, как будто спишь на неровных досках;;15210_101hotels
;;15210_101hotels
Гостиница больше похожа на кемпинг: все удобства во дворе. В домике, кроме кроватей только небольшой стол, тумбочка  и вешалка. Любителям комфортного отдыха нужно брать другие гостиницы.;Персонал заслуживает высшей похвалы: добросердечные, улыбающиеся, готовые всегда прийти на помощь. Брали завтраки и ужины - очень вкусно! Советую.;15210_101hotels
;;15210_101hotels
;;15210_101hotels
На большее количество домиков, расположенных на верху необходимо доооборудовать сантехнические места (туалет, умывальники);"Проживание понравилось, все близко: озеро, магазины, пляж.
Прекрасное обслуживание, персонал.
Предлагаем включить  в проживание  не только завтраки , но и ужины. Желательно, чтобы было меню для проживающих, а то повар как- то неуверенно отвечает, что будет готовить на ужин, или на завтрак, и по какой стоимости";15210_101hotels
Красивый вид на море завтра включен это единственные плюсы данной базы.;Завышена цена на данную базу отдыха. Очень маленькая, комната с двумя кроватями без услуг. Душ туалет на улице очень далеко некомфортно. База требует ремонта. Не рекомендую;15210_101hotels
;Нам понравилось, минус что кушать самим готовить почти негде, есть беседка но в ней почти ничего нет кроме плитки и посуды, и в номере одна полка это тоже очень не удобно когда отдыхаешь с маленькими детьми. Из персонала нам очень понравилась уборщица очень приветливая, никогда ни в чем не отказывала, очень приятная женщина, и поговорить и что то попросить. Отдых был у нас хороший.;15210_101hotels
Все супер! Единственное, что не очень понравилось: лето, жара, а в домиках не открываются окна, поэтому очень душно. И довольно проблематично помыть посуду, если сами что-то готовим или элементарно фрукты, овощи детям. Вода из бочки с ковшиком - это не очень удобно. Думаю, если не посуду (все равно там редко кто готовит сам с таким поваром саперским, хотя такая возможность есть) хотя бы фрукты можно разрешить в раковине промыть.;Отдыхали семьей (4 человека) с 1.08.22 по 6.08.22. Расположена база очень удобно! Все рядом: центр с сувенирами, магазинами, пляж, не маловажно для отдыхающих с детьми, 2 детских площадки неподалеку. Персонал приветливый, готовый помочь, Чистота!!!! (Огромное спасибо горничной Татьяне), включая туалеты, даже бумага разная на вкус и цвет :)) Туалеты теплые. Отдельно хочу сказать про столовую! Повар - кудесница! У нас был полупансион: 2 раза в день кушали там. Повар ни разу не повторилась, ели от пуза :)) а выпечка вообще песня. Также в столовой постоянно включённый бойлер с горячей водой: можно в любое время попить чай или кофе, который, кстати, можно там же взять. Есть летный душ. В следующий раз, если на Ольхон, то только в Берег Надежды. Соотношение цена-качество идеальны!;15210_101hotels
;;15210_101hotels
;"Вс? понравилось. Отдыхали с детьми и с собачкой. Замечательный, сытный завтрак. Расположение рядом с ключевыми достопримечательностями острова. 

Идеально подходит для путешествий по острову. 
Рядом магазины. Есть летняя кухня. 
Нашей семье очень понравилось. 

Спасибо большое.";15210_101hotels
Значимых не было;Хорошая база отдыха, у нас был отдельный домик);15210_101hotels
Цены неадекватно высокие на всем острове, стояли в очереди на паром, что бы выехать 5 часов. Оно того не стоит! Не посоветую ехать на остров. Скорее посоветую не ехать на остров.;Слышен шум волны... Расположен отель в самом центре. Прибыли последним паромом. Нас дождались и были рады.;15210_101hotels
;База отдыха с красивым названием Берег Надежды находится в удобном расположении от озера! Цена/качество соответствуют. Кормят как дома, очень вкусно. В летнем душе есть горячая вода.;15210_101hotels
;Своя столовая. Рядом Байкал.;15210_101hotels
"Про минусы: 
сын после душа сказал, что вода холодная.
Мы даже не пошли купаться.
Но, как выяснилось, после длительного слива воды, горячей водой можно пользоваться.";Расположение: всё рядом. И причал, и столбы, и магазины.;15210_101hotels
В номере кроме кроватей и обогревателя ничего нет. Матрас и подушка жесткие. Трансфер не обеспечен, хотя много раз об этом просили. Мы ехали издалека и не знали, что надо заказывать автобус за несколько дней. Добирались как придётся.;Персонал доброжелательный. Питание нормальное. Расположение отеля хорошее, близко к берегу.;15210_101hotels
;;15210_101hotels
Минусов не было.;Душ и туалет на улице, но всё чисто, горячая вода есть (летом). Очередей не было. Можно заказать баню за отдельную плату. Персонал очень дружелюбный.;15210_101hotels
Дороговизна услуг, но это было связано с плохой погодой.;Недалеко скала Шаманка. Заказали вечернюю прогулку на катере, все понравилось. Завтрак бесплатный. Есть неплохой магазин Любимый в шаговой доступности.;15210_101hotels
;;15210_101hotels
Однако цены на питание не соответствуют качеству и набору продуктов.;Большое спасибо персоналу за ненавязчивое обслуживание. Все наши просьбы выполнялись. Душ, туалетные комнаты всегда были чистые. Спокойствие и тишина, вид на Байкал. Цена относительно невысокая. Вкусная каша на завтрак.;15210_101hotels
;Очень приветливый персонал и хорошие хозяева. До пляжа близко, он сразу возле причала. Кормили вкусно, по домашнему.оборудованное место под костёр, есть мангал, баня, экскурсии.;15210_101hotels
Душ не работал. Территория отеля неопрятная, конечно может это связано с тем, что не начался сезон.;Отель расположен в пяти минутах от Байкала. Есть столовая. Есть возможность в столовой разогреть еду и без ограничений выпить кофе или чай с сахором и молоком. Отзывчивый персонал. Можно арендовать велосипед, договориться об экскурсии.;15210_101hotels
;"Отличное место для отдыха с душой!

Супер локация базы, рядом есть все: набережная, гора  Шаманка, залив с песчаным пляжем. Недалеко есть магазины и кафе.

Гостеприимная хозяйка и вся команда Берега Надежды, с ними я почувствовала себя как дома.
Вкусная колоритная домашняя кухня. Баня.
Здесь же можно заказать экскурсии по цене от 1500?.

У меня был номер, с незабываемым видом на Байкал и храм на пригорке. Красивые закаты и рассветы.

Рекомендую всем и точно вернусь сама.";15210_101hotels
;Классное местечко, затащил сюда муж, под предлогом «надо отдохнуть на свежем воздухе». Я провела отлично свой отпуск, остались только хорошие эмоции и воспоминания от пережитого. Во-первых, атмосферное место, продумали все для того, чтобы гостям было уютно. Побывала в бане и активно отдохнула. В этом месте не соскучишься.;15210_101hotels
;Небольшие и уютные домики. Мне отдых тут напоминает мое юношество, когда я ездил в пионерские лагери. Для шумной компании – это идеальное место. Конечно, со временем нужно вкладывать деньги, чтобы развивать сервис, но мне такие полуспартанские условия даже нравятся. Спасибо Вам.;15210_101hotels
;Отличный выбор для тех, кто хочет жить в комфорте, да еще и в очень домашней атмосфере. В номере было очень тепло. Подавали кушать вкусную еду, личного приготовления. Я доволен работой персонала. Все сотрудники отзывчивы и всегда готовы прийти на помощь. Кстати, на ресепшене можно сделать заказ экскурсии.;15210_101hotels
;А мне, очень даже и понравилось. Это, во-первых, необычный вариант отдыха, что уже интересно, во-вторых, здесь просто великолепные обеды и ужины. Я не только суперски отдохнул, но и наелся буквально до отвала. Очень хорошее место, которое стоит посетить.;15210_101hotels
;Отдыхали тут с друзьями. Хозяева добрые, понимающие. Поселок очень красивый. Чувствовали себя здесь спокойно, в полной безопасности. В номере все удобства. Цена приемлемая, поэтому особых претензий нет. Пляж недалеко.;15210_101hotels
;Отличное место, чтобы провести выходные. Мы остались очень довольны, домик просторный, чистый, есть абсолютно все для проживания. Наши выходные запомнились только с положительной стороны.;15210_101hotels
;Жили в коттедже с сестрой, деткам было весело, и мы спокойно отдыхали! Все номера уютные, везде чисто и хорошо. Природа завораживает, как и чистый воздух, Байкал очень близко!;15210_101hotels
